distance,mean,stdev,reference_dist,units_factor
0.6107,4188922.234,1107.753965,0.3291,0.0254
0.6106,4192491.3,1088.666153,0.3291,0.0254
0.6105,4192966.8,1109.789458,0.3291,0.0254
0.6104,4192885.53,993.3530234,0.3291,0.0254
0.6103,4192976.991,1056.583908,0.3291,0.0254
0.6102,4193063.56,943.5144866,0.3291,0.0254
0.6101,4193330.286,983.5049346,0.3291,0.0254
0.61,4192668.686,986.7239018,0.3291,0.0254
0.6099,4193636.973,812.1402761,0.3291,0.0254
0.6098,4193818.291,986.7518464,0.3291,0.0254
0.6097,4193785.09,919.0909541,0.3291,0.0254
0.6096,4194100.037,1006.979195,0.3291,0.0254
0.6095,4194410.577,970.9534835,0.3291,0.0254
0.6094,4194125.721,967.3920469,0.3291,0.0254
0.6093,4194513.771,1052.746371,0.3291,0.0254
