separation_distance,capacitance
6.107000000000000206e-01,4.191038000000000000e+06
6.107000000000000206e-01,4.187273000000000000e+06
6.107000000000000206e-01,4.190211000000000000e+06
6.107000000000000206e-01,4.187416000000000000e+06
6.107000000000000206e-01,4.190443000000000000e+06
6.107000000000000206e-01,4.188606000000000000e+06
6.107000000000000206e-01,4.189078000000000000e+06
6.107000000000000206e-01,4.187688000000000000e+06
6.107000000000000206e-01,4.189741000000000000e+06
6.107000000000000206e-01,4.188432000000000000e+06
6.107000000000000206e-01,4.187559000000000000e+06
6.107000000000000206e-01,4.188447000000000000e+06
6.107000000000000206e-01,4.190217000000000000e+06
6.107000000000000206e-01,4.189659000000000000e+06
6.107000000000000206e-01,4.188171000000000000e+06
6.107000000000000206e-01,4.189621000000000000e+06
6.107000000000000206e-01,4.189584000000000000e+06
6.107000000000000206e-01,4.188249000000000000e+06
6.107000000000000206e-01,4.189804000000000000e+06
6.107000000000000206e-01,4.188008000000000000e+06
6.107000000000000206e-01,4.189235000000000000e+06
6.107000000000000206e-01,4.188297000000000000e+06
6.107000000000000206e-01,4.188190000000000000e+06
6.107000000000000206e-01,4.188512000000000000e+06
6.107000000000000206e-01,4.190653000000000000e+06
6.107000000000000206e-01,4.190035000000000000e+06
6.107000000000000206e-01,4.190119000000000000e+06
6.107000000000000206e-01,4.188940000000000000e+06
6.107000000000000206e-01,4.191162000000000000e+06
6.107000000000000206e-01,4.189730000000000000e+06
6.107000000000000206e-01,4.188225000000000000e+06
6.107000000000000206e-01,4.187334000000000000e+06
6.107000000000000206e-01,4.188593000000000000e+06
6.107000000000000206e-01,4.188298000000000000e+06
6.107000000000000206e-01,4.189272000000000000e+06
6.107000000000000206e-01,4.187913000000000000e+06
6.107000000000000206e-01,4.189235000000000000e+06
6.107000000000000206e-01,4.188254000000000000e+06
6.107000000000000206e-01,4.188154000000000000e+06
6.107000000000000206e-01,4.187242000000000000e+06
6.107000000000000206e-01,4.188505000000000000e+06
6.107000000000000206e-01,4.188314000000000000e+06
6.107000000000000206e-01,4.186692000000000000e+06
6.107000000000000206e-01,4.188122000000000000e+06
6.107000000000000206e-01,4.190441000000000000e+06
6.107000000000000206e-01,4.186678000000000000e+06
6.107000000000000206e-01,4.189425000000000000e+06
6.107000000000000206e-01,4.188613000000000000e+06
6.107000000000000206e-01,4.187861000000000000e+06
6.107000000000000206e-01,4.189011000000000000e+06
6.107000000000000206e-01,4.190795000000000000e+06
6.107000000000000206e-01,4.188557000000000000e+06
6.107000000000000206e-01,4.189188000000000000e+06
6.107000000000000206e-01,4.189182000000000000e+06
6.107000000000000206e-01,4.186807000000000000e+06
6.107000000000000206e-01,4.189435000000000000e+06
6.107000000000000206e-01,4.187582000000000000e+06
6.107000000000000206e-01,4.187790000000000000e+06
6.107000000000000206e-01,4.189371000000000000e+06
6.107000000000000206e-01,4.188984000000000000e+06
6.107000000000000206e-01,4.189259000000000000e+06
6.107000000000000206e-01,4.188919000000000000e+06
6.107000000000000206e-01,4.189802000000000000e+06
6.107000000000000206e-01,4.188568000000000000e+06
6.107000000000000206e-01,4.189707000000000000e+06
6.107000000000000206e-01,4.187328000000000000e+06
6.107000000000000206e-01,4.189378000000000000e+06
6.107000000000000206e-01,4.188271000000000000e+06
6.107000000000000206e-01,4.189953000000000000e+06
6.107000000000000206e-01,4.190485000000000000e+06
6.107000000000000206e-01,4.189151000000000000e+06
6.107000000000000206e-01,4.190424000000000000e+06
6.107000000000000206e-01,4.188253000000000000e+06
6.107000000000000206e-01,4.189160000000000000e+06
6.107000000000000206e-01,4.188779000000000000e+06
6.107000000000000206e-01,4.187616000000000000e+06
6.107000000000000206e-01,4.188160000000000000e+06
6.107000000000000206e-01,4.188141000000000000e+06
6.107000000000000206e-01,4.189065000000000000e+06
6.107000000000000206e-01,4.187551000000000000e+06
6.107000000000000206e-01,4.188964000000000000e+06
6.107000000000000206e-01,4.188491000000000000e+06
6.107000000000000206e-01,4.190116000000000000e+06
6.107000000000000206e-01,4.190297000000000000e+06
6.107000000000000206e-01,4.190595000000000000e+06
