paper,capacitance
1.000000000000000000e+01,1.458899900000000000e+07
1.000000000000000000e+01,1.459311000000000000e+07
1.000000000000000000e+01,1.460797200000000000e+07
1.000000000000000000e+01,1.458670100000000000e+07
1.000000000000000000e+01,1.459703500000000000e+07
1.000000000000000000e+01,1.459203000000000000e+07
1.000000000000000000e+01,1.459960200000000000e+07
1.000000000000000000e+01,1.458706700000000000e+07
1.000000000000000000e+01,1.460614900000000000e+07
1.000000000000000000e+01,1.460107500000000000e+07
1.000000000000000000e+01,1.460206400000000000e+07
1.000000000000000000e+01,1.460600400000000000e+07
1.000000000000000000e+01,1.459890000000000000e+07
1.000000000000000000e+01,1.460037300000000000e+07
1.000000000000000000e+01,1.459751900000000000e+07
1.000000000000000000e+01,1.460759500000000000e+07
1.000000000000000000e+01,1.461132100000000000e+07
1.000000000000000000e+01,1.460713400000000000e+07
1.000000000000000000e+01,1.460537500000000000e+07
1.000000000000000000e+01,1.461054400000000000e+07
1.000000000000000000e+01,1.461981100000000000e+07
1.000000000000000000e+01,1.463049800000000000e+07
1.000000000000000000e+01,1.461546100000000000e+07
1.000000000000000000e+01,1.462516700000000000e+07
1.000000000000000000e+01,1.462084100000000000e+07
1.000000000000000000e+01,1.461953900000000000e+07
1.000000000000000000e+01,1.461413300000000000e+07
1.000000000000000000e+01,1.462708200000000000e+07
1.000000000000000000e+01,1.462110800000000000e+07
1.000000000000000000e+01,1.462277300000000000e+07
1.000000000000000000e+01,1.463411000000000000e+07
1.000000000000000000e+01,1.462597300000000000e+07
1.000000000000000000e+01,1.463296400000000000e+07
1.000000000000000000e+01,1.462078400000000000e+07
1.000000000000000000e+01,1.463303300000000000e+07
1.000000000000000000e+01,1.462850900000000000e+07
1.000000000000000000e+01,1.462412200000000000e+07
1.000000000000000000e+01,1.461901000000000000e+07
1.000000000000000000e+01,1.462126900000000000e+07
1.000000000000000000e+01,1.463920600000000000e+07
1.000000000000000000e+01,1.464562300000000000e+07
1.000000000000000000e+01,1.464220200000000000e+07
1.000000000000000000e+01,1.463879900000000000e+07
1.000000000000000000e+01,1.463389500000000000e+07
1.000000000000000000e+01,1.465036200000000000e+07
1.000000000000000000e+01,1.463521300000000000e+07
1.000000000000000000e+01,1.465400700000000000e+07
1.000000000000000000e+01,1.465523300000000000e+07
1.000000000000000000e+01,1.463748800000000000e+07
1.000000000000000000e+01,1.464937600000000000e+07
1.000000000000000000e+01,1.463304800000000000e+07
1.000000000000000000e+01,1.464614300000000000e+07
1.000000000000000000e+01,1.464088100000000000e+07
1.000000000000000000e+01,1.465413600000000000e+07
1.000000000000000000e+01,1.465463700000000000e+07
1.000000000000000000e+01,1.465250400000000000e+07
1.000000000000000000e+01,1.465568600000000000e+07
1.000000000000000000e+01,1.464408100000000000e+07
1.000000000000000000e+01,1.464240000000000000e+07
1.000000000000000000e+01,1.465231100000000000e+07
1.000000000000000000e+01,1.465467700000000000e+07
1.000000000000000000e+01,1.466527400000000000e+07
1.000000000000000000e+01,1.465862200000000000e+07
1.000000000000000000e+01,1.466229100000000000e+07
1.000000000000000000e+01,1.464420900000000000e+07
1.000000000000000000e+01,1.464954200000000000e+07
1.000000000000000000e+01,1.465497400000000000e+07
1.000000000000000000e+01,1.466935600000000000e+07
1.000000000000000000e+01,1.467520900000000000e+07
1.000000000000000000e+01,1.466141500000000000e+07
1.000000000000000000e+01,1.466160200000000000e+07
1.000000000000000000e+01,1.466612500000000000e+07
1.000000000000000000e+01,1.465876400000000000e+07
1.000000000000000000e+01,1.465590200000000000e+07
1.000000000000000000e+01,1.467121200000000000e+07
1.000000000000000000e+01,1.467411300000000000e+07
1.000000000000000000e+01,1.467857900000000000e+07
1.000000000000000000e+01,1.466730700000000000e+07
1.000000000000000000e+01,1.467140400000000000e+07
1.000000000000000000e+01,1.466673200000000000e+07
1.000000000000000000e+01,1.467997400000000000e+07
1.000000000000000000e+01,1.467731100000000000e+07
1.000000000000000000e+01,1.466387700000000000e+07
1.000000000000000000e+01,1.467810400000000000e+07
1.000000000000000000e+01,1.468052900000000000e+07
1.000000000000000000e+01,1.467500400000000000e+07
1.000000000000000000e+01,1.468198200000000000e+07
1.000000000000000000e+01,1.467489500000000000e+07
1.000000000000000000e+01,1.467020100000000000e+07
1.000000000000000000e+01,1.468309300000000000e+07
1.000000000000000000e+01,1.468358500000000000e+07
1.000000000000000000e+01,1.468696300000000000e+07
1.000000000000000000e+01,1.466737900000000000e+07
1.000000000000000000e+01,1.467926200000000000e+07
1.000000000000000000e+01,1.468612000000000000e+07
